code,level-front-120,level-future-120,trend,front-min_time,front-min_up_or_down,front-max_time,front-max_up_or_down,future-min_time,future-min_up_or_down,future-max_time,future-max_up_or_down,percent
603506.SH南都物业,0.24365646104503672,-2.262032284363056,-2.5056887454080927,2023-02-05 00:00:00,-8.78581301711587,2023-05-04 00:00:00,7.088011516149584,2023-07-11 00:00:00,-9.12043547578974,2023-09-01 00:00:00,3.6730748661344075,0.5769230769230769
603258.SH电魂网络,1.8314027432596207,-0.4575923605129894,-2.28899510377261,2023-03-02 00:00:00,-5.299604182683445,2023-04-24 00:00:00,10.0,2023-06-30 00:00:00,-6.926989486460231,2023-08-22 00:00:00,6.478945635584152,0.8648648648648649
603365.SH水星家纺,0.04572295360281617,-2.1710036988515884,-2.2167266524544047,2023-03-08 00:00:00,-6.385692145086953,2023-04-23 00:00:00,7.0467378205690325,2023-07-06 00:00:00,-8.93034114711822,2023-06-02 00:00:00,5.09550797939859,0.6333333333333333
002035.SZ华帝股份,0.17444947279434722,-2.0132864293664925,-2.18773590216084,2023-05-08 00:00:00,-6.706016899749738,2023-04-08 00:00:00,8.175622378111473,2023-07-07 00:00:00,-8.196462520853729,2023-08-06 00:00:00,4.163537479146269,0.6470588235294118
300624.SZ万兴科技,1.9174482809051208,-0.23833082323536905,-2.15577910414049,2023-02-02 00:00:00,-5.771583381299454,2023-04-01 00:00:00,10.0,2023-07-23 00:00:00,-6.146022110188014,2023-09-28 00:00:00,7.208113506772364,0.8461538461538461
603083.SH剑桥科技,3.370980010923645,1.2717750924342368,-2.0992049184894084,2023-05-07 00:00:00,-4.479260655734125,2023-03-28 00:00:00,9.233554668070443,2023-07-06 00:00:00,-6.675575103988633,2023-08-22 00:00:00,7.904265124250476,0.9836065573770492
002903.SZ宇环数控,-0.6194866038777118,-2.689841037832106,-2.0703544339543942,2023-02-27 00:00:00,-6.604325210515036,2023-03-30 00:00:00,5.784188880418956,2023-07-07 00:00:00,-9.599002694586115,2023-06-06 00:00:00,6.227895763865943,0.41025641025641024
300504.SZ天邑股份,1.7542372228369658,-0.2872293103926889,-2.041466533229655,2023-05-02 00:00:00,-5.628761603227599,2023-03-28 00:00:00,8.34123782770314,2023-07-01 00:00:00,-6.595372803074883,2023-08-31 00:00:00,6.06666656988488,0.8
300592.SZ华凯易佰,0.7480039845550304,-1.2863582716377175,-2.0343622561927477,2023-02-25 00:00:00,-5.867921504032498,2023-03-31 00:00:00,7.861311641869064,2023-06-25 00:00:00,-6.971252558081668,2023-08-17 00:00:00,6.798442924033886,0.7291666666666666
300533.SZ冰川网络,1.249805095952927,-0.7648051334496186,-2.0146102294025456,2023-02-02 00:00:00,-7.458410984741981,2023-04-21 00:00:00,9.83735693724616,2023-08-01 00:00:00,-6.297154934069761,2023-08-19 00:00:00,6.238531930575167,0.7111111111111111
601595.SH上海电影,1.2594287452838007,-0.7457148620117676,-2.0051436072955684,2023-02-16 00:00:00,-6.180007914740342,2023-04-24 00:00:00,10.0,2023-06-16 00:00:00,-6.559416877717289,2023-08-22 00:00:00,6.0001357751020645,0.7254901960784313
603848.SH好太太,-0.36794564488507026,-2.34105005273847,-1.9731044078534,2023-03-17 00:00:00,-7.017140981238236,2023-05-04 00:00:00,6.48173445496639,2023-06-30 00:00:00,-9.077573671600533,2023-06-02 00:00:00,4.88812489123743,0.7380952380952381
601858.SH中国科传,1.900791530803282,-0.04893759223386694,-1.9497291230371487,2023-02-25 00:00:00,-4.783634077786569,2023-04-24 00:00:00,10.0,2023-09-06 00:00:00,-6.211345207851077,2023-08-22 00:00:00,6.148654792148923,0.8545454545454545
603356.SH华菱精工,-0.21168877588208215,-2.155335033889512,-1.9436462580074299,2023-04-05 00:00:00,-6.248652702999278,2023-04-01 00:00:00,6.334770992778948,2023-08-03 00:00:00,-9.42032920422295,2023-09-28 00:00:00,4.604686115485265,0.4358974358974359
300418.SZ昆仑万维,2.329090151104171,0.4078725242776986,-1.9212176268264722,2023-05-08 00:00:00,-6.337634188328823,2023-03-30 00:00:00,8.782066887531712,2023-09-05 00:00:00,-6.441534445175224,2023-06-11 00:00:00,5.948203242410876,0.8775510204081632
